mode	drug	no_feats	F1-score_macro	c_param
gpa_snps	Tobramycin	19	0.8693	0.025
gpa_snps	Tobramycin	3	0.8626	0.007
gpa_snps	Tobramycin	10	0.862	0.015
gpa_snps	Tobramycin	0	0.4069	0.0025
gpa_snps	Tobramycin	0	0.4069	0.002
gpa_snps	Tobramycin	0	0.4069	0.003
gpa_snps	Tobramycin	0	0.4069	0.004
gpa_snps	Tobramycin	0	0.4069	0.005
gpa_snps	Tobramycin	0	0.4069	0.0015
gpa_snps	Tobramycin	0	0.4069	0.001
gpa	Ceftazidim	57	0.6938	0.07
gpa	Ceftazidim	73	0.6864	0.085
gpa	Ceftazidim	40	0.6861	0.05
gpa	Ceftazidim	80	0.6753	0.1
gpa	Ceftazidim	28	0.6752	0.04
gpa	Ceftazidim	149	0.6679	0.5
gpa	Ceftazidim	109	0.6678	0.15
gpa	Ceftazidim	15	0.665	0.03
gpa	Ceftazidim	125	0.6567	0.2
gpa	Ceftazidim	149	0.6566	0.3
gpa	Ceftazidim	153	0.653	0.85
gpa	Ceftazidim	149	0.653	0.4
gpa	Ceftazidim	133	0.653	0.25
gpa	Ceftazidim	13	0.6518	0.025
gpa	Ceftazidim	156	0.6493	1.0
gpa	Ceftazidim	158	0.6455	0.7
gpa	Ceftazidim	8	0.6404	0.02
gpa	Ceftazidim	4	0.5988	0.015
gpa	Ceftazidim	0	0.335	0.0015
gpa	Ceftazidim	0	0.335	0.01
gpa	Ceftazidim	0	0.335	0.0085
gpa	Ceftazidim	0	0.335	0.007
gpa	Ceftazidim	0	0.335	0.005
gpa	Ceftazidim	0	0.335	0.004
gpa	Ceftazidim	0	0.335	0.003
gpa	Ceftazidim	0	0.335	0.0025
gpa	Ceftazidim	0	0.335	0.002
gpa	Ceftazidim	0	0.335	0.001
gpa	Ciprofloxacin	124	0.786	0.3
gpa	Ciprofloxacin	126	0.7854	0.85
gpa	Ciprofloxacin	32	0.7837	0.04
gpa	Ciprofloxacin	134	0.7814	0.7
gpa	Ciprofloxacin	126	0.7784	0.4
gpa	Ciprofloxacin	37	0.7769	0.05
gpa	Ciprofloxacin	26	0.773	0.03
gpa	Ciprofloxacin	129	0.7703	1.0
gpa	Ciprofloxacin	85	0.77	0.085
gpa	Ciprofloxacin	130	0.768	0.5
gpa	Ciprofloxacin	131	0.768	0.25
gpa	Ciprofloxacin	60	0.7665	0.07
gpa	Ciprofloxacin	16	0.7661	0.025
gpa	Ciprofloxacin	105	0.7658	0.15
gpa	Ciprofloxacin	10	0.7624	0.02
gpa	Ciprofloxacin	91	0.7593	0.1
gpa	Ciprofloxacin	115	0.7539	0.2
gpa	Ciprofloxacin	7	0.7376	0.015
gpa	Ciprofloxacin	5	0.6935	0.01
gpa	Ciprofloxacin	1	0.5627	0.0085
gpa	Ciprofloxacin	0	0.3084	0.005
gpa	Ciprofloxacin	0	0.3084	0.0015
gpa	Ciprofloxacin	0	0.3084	0.004
gpa	Ciprofloxacin	0	0.3084	0.003
gpa	Ciprofloxacin	0	0.3084	0.007
gpa	Ciprofloxacin	0	0.3084	0.0025
gpa	Ciprofloxacin	0	0.3084	0.002
gpa	Ciprofloxacin	0	0.3084	0.001
gpa	Meropenem	72	0.8641	0.15
gpa	Meropenem	48	0.8561	0.1
gpa	Meropenem	90	0.8533	0.2
gpa	Meropenem	41	0.8533	0.085
gpa	Meropenem	32	0.847	0.07
gpa	Meropenem	96	0.8445	0.25
gpa	Meropenem	16	0.8434	0.04
gpa	Meropenem	22	0.8434	0.05
gpa	Meropenem	12	0.8399	0.025
gpa	Meropenem	13	0.8399	0.03
gpa	Meropenem	9	0.826	0.02
gpa	Meropenem	90	0.8241	0.3
gpa	Meropenem	102	0.8186	0.4
gpa	Meropenem	103	0.8081	0.5
gpa	Meropenem	110	0.7954	0.7
gpa	Meropenem	111	0.7791	1.0
gpa	Meropenem	119	0.7714	0.85
gpa	Meropenem	3	0.3968	0.015
gpa	Meropenem	0	0.2386	0.0015
gpa	Meropenem	1	0.2386	0.01
gpa	Meropenem	0	0.2386	0.0085
gpa	Meropenem	0	0.2386	0.007
gpa	Meropenem	0	0.2386	0.005
gpa	Meropenem	0	0.2386	0.004
gpa	Meropenem	0	0.2386	0.003
gpa	Meropenem	0	0.2386	0.0025
gpa	Meropenem	0	0.2386	0.002
gpa	Meropenem	0	0.2386	0.001
gpa	Tobramycin	31	0.9162	0.05
gpa	Tobramycin	48	0.9095	0.07
gpa	Tobramycin	60	0.905	0.1
gpa	Tobramycin	55	0.905	0.085
gpa	Tobramycin	22	0.9011	0.04
gpa	Tobramycin	84	0.8989	0.4
gpa	Tobramycin	15	0.8971	0.03
gpa	Tobramycin	82	0.8956	0.2
gpa	Tobramycin	87	0.895	0.85
gpa	Tobramycin	78	0.895	0.3
gpa	Tobramycin	95	0.895	0.25
gpa	Tobramycin	71	0.895	0.15
gpa	Tobramycin	89	0.8928	0.7
gpa	Tobramycin	12	0.8925	0.025
gpa	Tobramycin	3	0.8918	0.01
gpa	Tobramycin	86	0.8911	1.0
gpa	Tobramycin	10	0.8891	0.02
gpa	Tobramycin	83	0.8884	0.5
gpa	Tobramycin	3	0.8877	0.0085
gpa	Tobramycin	8	0.8851	0.015
gpa	Tobramycin	3	0.8626	0.007
gpa	Tobramycin	0	0.4069	0.0015
gpa	Tobramycin	0	0.4069	0.005
gpa	Tobramycin	0	0.4069	0.004
gpa	Tobramycin	0	0.4069	0.003
gpa	Tobramycin	0	0.4069	0.0025
gpa	Tobramycin	0	0.4069	0.002
gpa	Tobramycin	0	0.4069	0.001
snps	Ceftazidim	152	0.6752	0.15
snps	Ceftazidim	165	0.6715	0.3
snps	Ceftazidim	128	0.6712	0.085
snps	Ceftazidim	102	0.671	0.07
snps	Ceftazidim	130	0.6639	0.1
snps	Ceftazidim	71	0.6604	0.05
snps	Ceftazidim	172	0.6562	0.5
snps	Ceftazidim	8	0.6558	0.015
snps	Ceftazidim	49	0.6527	0.04
snps	Ceftazidim	171	0.6524	0.7
snps	Ceftazidim	151	0.6489	0.2
snps	Ceftazidim	20	0.6451	0.025
snps	Ceftazidim	162	0.6416	0.25
snps	Ceftazidim	27	0.6379	0.03
snps	Ceftazidim	164	0.6342	0.4
snps	Ceftazidim	164	0.6265	1.0
snps	Ceftazidim	171	0.6263	0.85
snps	Ceftazidim	14	0.6229	0.02
snps	Ceftazidim	0	0.335	0.0015
snps	Ceftazidim	0	0.335	0.01
snps	Ceftazidim	0	0.335	0.0085
snps	Ceftazidim	0	0.335	0.007
snps	Ceftazidim	0	0.335	0.005
snps	Ceftazidim	0	0.335	0.004
snps	Ceftazidim	0	0.335	0.003
snps	Ceftazidim	0	0.335	0.0025
snps	Ceftazidim	0	0.335	0.002
snps	Ceftazidim	0	0.335	0.001
snps	Ciprofloxacin	80	0.9086	0.15
snps	Ciprofloxacin	48	0.9047	0.085
snps	Ciprofloxacin	50	0.9046	0.07
snps	Ciprofloxacin	27	0.9042	0.05
snps	Ciprofloxacin	73	0.9013	0.1
snps	Ciprofloxacin	91	0.8906	0.3
snps	Ciprofloxacin	3	0.8896	0.0085
snps	Ciprofloxacin	6	0.8896	0.01
snps	Ciprofloxacin	21	0.8896	0.04
snps	Ciprofloxacin	2	0.8896	0.007
snps	Ciprofloxacin	8	0.8896	0.015
snps	Ciprofloxacin	83	0.8874	0.2
snps	Ciprofloxacin	15	0.8859	0.02
snps	Ciprofloxacin	22	0.8859	0.025
snps	Ciprofloxacin	25	0.8859	0.03
snps	Ciprofloxacin	86	0.8836	0.4
snps	Ciprofloxacin	84	0.8834	0.25
snps	Ciprofloxacin	87	0.877	0.5
snps	Ciprofloxacin	87	0.8736	0.7
snps	Ciprofloxacin	92	0.8729	0.85
snps	Ciprofloxacin	95	0.8553	1.0
snps	Ciprofloxacin	1	0.46	0.005
snps	Ciprofloxacin	0	0.3084	0.0015
snps	Ciprofloxacin	0	0.3084	0.004
snps	Ciprofloxacin	0	0.3084	0.003
snps	Ciprofloxacin	0	0.3084	0.0025
snps	Ciprofloxacin	0	0.3084	0.002
snps	Ciprofloxacin	0	0.3084	0.001
snps	Meropenem	10	0.5869	0.02
snps	Meropenem	17	0.5861	0.03
snps	Meropenem	3	0.5798	0.015
snps	Meropenem	173	0.5775	1.0
snps	Meropenem	14	0.5712	0.025
snps	Meropenem	142	0.5472	0.15
snps	Meropenem	176	0.5467	0.85
snps	Meropenem	147	0.5418	0.2
snps	Meropenem	61	0.5354	0.05
snps	Meropenem	157	0.533	0.25
snps	Meropenem	39	0.5294	0.04
snps	Meropenem	160	0.5281	0.4
snps	Meropenem	175	0.5267	0.5
snps	Meropenem	164	0.5169	0.3
snps	Meropenem	117	0.515	0.1
snps	Meropenem	110	0.5149	0.085
snps	Meropenem	178	0.5112	0.7
snps	Meropenem	98	0.5097	0.07
snps	Meropenem	0	0.2386	0.01
snps	Meropenem	0	0.2386	0.0025
snps	Meropenem	0	0.2386	0.002
snps	Meropenem	0	0.2386	0.004
snps	Meropenem	0	0.2386	0.003
snps	Meropenem	0	0.2386	0.0085
snps	Meropenem	0	0.2386	0.005
snps	Meropenem	0	0.2386	0.0015
snps	Meropenem	0	0.2386	0.007
snps	Meropenem	0	0.2386	0.001
snps	Tobramycin	78	0.8896	0.085
snps	Tobramycin	66	0.8896	0.07
snps	Tobramycin	101	0.8884	0.15
snps	Tobramycin	82	0.8884	0.1
snps	Tobramycin	115	0.8844	0.25
snps	Tobramycin	110	0.8812	0.2
snps	Tobramycin	107	0.8798	0.7
snps	Tobramycin	120	0.8779	0.85
snps	Tobramycin	113	0.8765	0.3
snps	Tobramycin	56	0.8721	0.05
snps	Tobramycin	117	0.87	1.0
snps	Tobramycin	117	0.87	0.4
snps	Tobramycin	119	0.8668	0.5
snps	Tobramycin	41	0.865	0.04
snps	Tobramycin	26	0.8554	0.03
snps	Tobramycin	24	0.8452	0.025
snps	Tobramycin	22	0.839	0.02
snps	Tobramycin	19	0.8241	0.015
snps	Tobramycin	9	0.7607	0.01
snps	Tobramycin	7	0.7535	0.0085
snps	Tobramycin	3	0.7443	0.007
snps	Tobramycin	0	0.4069	0.0015
snps	Tobramycin	0	0.4069	0.005
snps	Tobramycin	0	0.4069	0.004
snps	Tobramycin	0	0.4069	0.003
snps	Tobramycin	0	0.4069	0.0025
snps	Tobramycin	0	0.4069	0.002
snps	Tobramycin	0	0.4069	0.001
expr_snps	Ceftazidim	13	0.8131	0.01
expr_snps	Ceftazidim	103	0.8096	0.025
expr_snps	Ceftazidim	73	0.8096	0.02
expr_snps	Ceftazidim	42	0.8094	0.015
expr_snps	Ceftazidim	159	0.8059	0.05
expr_snps	Ceftazidim	119	0.7983	0.03
expr_snps	Ceftazidim	10	0.7939	0.0085
expr_snps	Ceftazidim	155	0.7909	0.4
expr_snps	Ceftazidim	146	0.7909	0.04
expr_snps	Ceftazidim	109	0.787	0.085
expr_snps	Ceftazidim	123	0.7868	0.3
expr_snps	Ceftazidim	166	0.7798	0.15
expr_snps	Ceftazidim	202	0.7798	0.2
expr_snps	Ceftazidim	168	0.7795	0.07
expr_snps	Ceftazidim	5	0.7717	0.007
expr_snps	Ceftazidim	158	0.7685	0.25
expr_snps	Ceftazidim	150	0.7683	0.1
expr_snps	Ceftazidim	131	0.7537	0.5
expr_snps	Ceftazidim	136	0.75	0.7
expr_snps	Ceftazidim	129	0.7386	0.85
expr_snps	Ceftazidim	2	0.7071	0.005
expr_snps	Ceftazidim	123	0.7052	1.0
expr_snps	Ceftazidim	0	0.335	0.0015
expr_snps	Ceftazidim	1	0.335	0.004
expr_snps	Ceftazidim	0	0.335	0.003
expr_snps	Ceftazidim	0	0.335	0.0025
expr_snps	Ceftazidim	0	0.335	0.002
expr_snps	Ceftazidim	0	0.335	0.001
expr_snps	Ciprofloxacin	43	0.9153	0.02
expr_snps	Ciprofloxacin	56	0.9079	0.1
expr_snps	Ciprofloxacin	19	0.9079	0.015
expr_snps	Ciprofloxacin	56	0.9046	0.025
expr_snps	Ciprofloxacin	60	0.9046	0.03
expr_snps	Ciprofloxacin	63	0.9044	0.07
expr_snps	Ciprofloxacin	57	0.9044	0.05
expr_snps	Ciprofloxacin	67	0.901	0.04
expr_snps	Ciprofloxacin	47	0.901	0.085
expr_snps	Ciprofloxacin	45	0.8973	0.2
expr_snps	Ciprofloxacin	60	0.8944	0.4
expr_snps	Ciprofloxacin	47	0.8937	0.3
expr_snps	Ciprofloxacin	58	0.8911	1.0
expr_snps	Ciprofloxacin	41	0.8906	0.15
expr_snps	Ciprofloxacin	8	0.8896	0.01
expr_snps	Ciprofloxacin	7	0.8896	0.0085
expr_snps	Ciprofloxacin	5	0.8896	0.007
expr_snps	Ciprofloxacin	2	0.8896	0.005
expr_snps	Ciprofloxacin	1	0.8896	0.004
expr_snps	Ciprofloxacin	1	0.8896	0.003
expr_snps	Ciprofloxacin	55	0.8874	0.85
expr_snps	Ciprofloxacin	46	0.8872	0.25
expr_snps	Ciprofloxacin	48	0.8872	0.7
expr_snps	Ciprofloxacin	74	0.8837	0.5
expr_snps	Ciprofloxacin	1	0.6906	0.0025
expr_snps	Ciprofloxacin	0	0.3084	0.0015
expr_snps	Ciprofloxacin	0	0.3084	0.002
expr_snps	Ciprofloxacin	0	0.3084	0.001
expr_snps	Meropenem	117	0.8321	0.04
expr_snps	Meropenem	101	0.826	0.03
expr_snps	Meropenem	83	0.8225	0.025
expr_snps	Meropenem	112	0.8206	0.05
expr_snps	Meropenem	132	0.8186	0.07
expr_snps	Meropenem	66	0.8145	0.02
expr_snps	Meropenem	146	0.8083	0.1
expr_snps	Meropenem	109	0.8071	0.85
expr_snps	Meropenem	94	0.8059	1.0
expr_snps	Meropenem	142	0.8048	0.085
expr_snps	Meropenem	123	0.7936	0.2
expr_snps	Meropenem	110	0.7929	0.15
expr_snps	Meropenem	30	0.7902	0.015
expr_snps	Meropenem	118	0.7901	0.4
expr_snps	Meropenem	128	0.788	0.3
expr_snps	Meropenem	102	0.7846	0.7
expr_snps	Meropenem	9	0.7822	0.01
expr_snps	Meropenem	108	0.7631	0.5
expr_snps	Meropenem	151	0.7597	0.25
expr_snps	Meropenem	5	0.7427	0.0085
expr_snps	Meropenem	3	0.7313	0.007
expr_snps	Meropenem	2	0.7258	0.005
expr_snps	Meropenem	0	0.2386	0.002
expr_snps	Meropenem	0	0.2386	0.0025
expr_snps	Meropenem	0	0.2386	0.003
expr_snps	Meropenem	0	0.2386	0.004
expr_snps	Meropenem	0	0.2386	0.0015
expr_snps	Meropenem	0	0.2386	0.001
expr_snps	Tobramycin	92	0.8901	0.7
expr_snps	Tobramycin	96	0.8857	0.2
expr_snps	Tobramycin	95	0.8824	0.4
expr_snps	Tobramycin	105	0.8824	0.25
expr_snps	Tobramycin	95	0.8824	0.15
expr_snps	Tobramycin	92	0.8824	0.05
expr_snps	Tobramycin	97	0.8818	0.3
expr_snps	Tobramycin	94	0.8812	0.085
expr_snps	Tobramycin	70	0.8792	0.03
expr_snps	Tobramycin	75	0.8792	0.85
expr_snps	Tobramycin	55	0.8778	0.02
expr_snps	Tobramycin	61	0.8772	0.025
expr_snps	Tobramycin	82	0.876	0.04
expr_snps	Tobramycin	73	0.8746	1.0
expr_snps	Tobramycin	107	0.874	0.07
expr_snps	Tobramycin	42	0.8714	0.015
expr_snps	Tobramycin	97	0.8643	0.1
expr_snps	Tobramycin	91	0.8643	0.5
expr_snps	Tobramycin	25	0.8495	0.01
expr_snps	Tobramycin	15	0.8318	0.0085
expr_snps	Tobramycin	11	0.8318	0.007
expr_snps	Tobramycin	8	0.7982	0.005
expr_snps	Tobramycin	8	0.7842	0.004
expr_snps	Tobramycin	3	0.7566	0.003
expr_snps	Tobramycin	0	0.4069	0.0015
expr_snps	Tobramycin	0	0.4069	0.0025
expr_snps	Tobramycin	0	0.4069	0.002
expr_snps	Tobramycin	0	0.4069	0.001
expr	Ceftazidim	49	0.8284	0.03
expr	Ceftazidim	21	0.8283	0.015
expr	Ceftazidim	44	0.8246	0.025
expr	Ceftazidim	33	0.8171	0.02
expr	Ceftazidim	68	0.8171	0.04
expr	Ceftazidim	86	0.8171	0.05
expr	Ceftazidim	10	0.8053	0.01
expr	Ceftazidim	99	0.7948	0.07
expr	Ceftazidim	105	0.7873	0.085
expr	Ceftazidim	115	0.7836	0.1
expr	Ceftazidim	143	0.7798	0.2
expr	Ceftazidim	128	0.7798	0.15
expr	Ceftazidim	132	0.7798	0.4
expr	Ceftazidim	144	0.7761	1.0
expr	Ceftazidim	135	0.7723	0.3
expr	Ceftazidim	138	0.7722	0.7
expr	Ceftazidim	7	0.7701	0.0085
expr	Ceftazidim	137	0.7649	0.85
expr	Ceftazidim	136	0.7647	0.5
expr	Ceftazidim	131	0.75	0.25
expr	Ceftazidim	5	0.734	0.007
expr	Ceftazidim	1	0.7071	0.005
expr	Ceftazidim	0	0.335	0.0015
expr	Ceftazidim	1	0.335	0.004
expr	Ceftazidim	0	0.335	0.003
expr	Ceftazidim	0	0.335	0.0025
expr	Ceftazidim	0	0.335	0.002
expr	Ceftazidim	0	0.335	0.001
expr	Ciprofloxacin	55	0.7978	0.025
expr	Ciprofloxacin	28	0.7944	0.015
expr	Ciprofloxacin	39	0.7944	0.02
expr	Ciprofloxacin	147	0.7922	0.7
expr	Ciprofloxacin	139	0.787	1.0
expr	Ciprofloxacin	80	0.783	0.04
expr	Ciprofloxacin	160	0.7807	0.25
expr	Ciprofloxacin	63	0.7801	0.03
expr	Ciprofloxacin	143	0.7761	0.85
expr	Ciprofloxacin	93	0.775	0.05
expr	Ciprofloxacin	132	0.7747	0.1
expr	Ciprofloxacin	138	0.7699	0.15
expr	Ciprofloxacin	133	0.769	0.5
expr	Ciprofloxacin	133	0.7677	0.085
expr	Ciprofloxacin	135	0.7661	0.4
expr	Ciprofloxacin	132	0.7661	0.2
expr	Ciprofloxacin	121	0.764	0.07
expr	Ciprofloxacin	138	0.7581	0.3
expr	Ciprofloxacin	16	0.7456	0.01
expr	Ciprofloxacin	13	0.721	0.0085
expr	Ciprofloxacin	8	0.7072	0.007
expr	Ciprofloxacin	4	0.6752	0.005
expr	Ciprofloxacin	2	0.4296	0.004
expr	Ciprofloxacin	0	0.3084	0.0015
expr	Ciprofloxacin	0	0.3084	0.0025
expr	Ciprofloxacin	0	0.3084	0.003
expr	Ciprofloxacin	0	0.3084	0.002
expr	Ciprofloxacin	0	0.3084	0.001
expr	Meropenem	92	0.8392	0.07
expr	Meropenem	63	0.8374	0.04
expr	Meropenem	76	0.8374	0.05
expr	Meropenem	101	0.8328	0.085
expr	Meropenem	87	0.8307	0.1
expr	Meropenem	35	0.8241	0.025
expr	Meropenem	40	0.8217	0.03
expr	Meropenem	104	0.82	0.4
expr	Meropenem	108	0.8142	0.5
expr	Meropenem	106	0.813	0.15
expr	Meropenem	29	0.8119	0.02
expr	Meropenem	114	0.8118	0.7
expr	Meropenem	104	0.8047	0.3
expr	Meropenem	112	0.8047	0.2
expr	Meropenem	118	0.7985	1.0
expr	Meropenem	115	0.7977	0.85
expr	Meropenem	115	0.795	0.25
expr	Meropenem	17	0.7682	0.015
expr	Meropenem	5	0.7552	0.01
expr	Meropenem	4	0.7418	0.0085
expr	Meropenem	3	0.7313	0.007
expr	Meropenem	2	0.7258	0.005
expr	Meropenem	0	0.2386	0.0015
expr	Meropenem	0	0.2386	0.004
expr	Meropenem	0	0.2386	0.003
expr	Meropenem	0	0.2386	0.0025
expr	Meropenem	0	0.2386	0.002
expr	Meropenem	0	0.2386	0.001
expr	Tobramycin	104	0.8869	0.1
expr	Tobramycin	114	0.8816	0.25
expr	Tobramycin	110	0.881	0.2
expr	Tobramycin	114	0.8804	1.0
expr	Tobramycin	112	0.8804	0.4
expr	Tobramycin	97	0.8804	0.085
expr	Tobramycin	109	0.8778	0.3
expr	Tobramycin	113	0.8778	0.15
expr	Tobramycin	100	0.8772	0.07
expr	Tobramycin	84	0.874	0.05
expr	Tobramycin	112	0.8734	0.85
expr	Tobramycin	109	0.8702	0.7
expr	Tobramycin	59	0.8683	0.03
expr	Tobramycin	77	0.8676	0.04
expr	Tobramycin	109	0.8625	0.5
expr	Tobramycin	51	0.8588	0.025
expr	Tobramycin	35	0.8563	0.02
expr	Tobramycin	24	0.8318	0.015
expr	Tobramycin	12	0.8071	0.01
expr	Tobramycin	11	0.7938	0.0085
expr	Tobramycin	7	0.7938	0.007
expr	Tobramycin	3	0.7938	0.005
expr	Tobramycin	3	0.793	0.004
expr	Tobramycin	2	0.72	0.003
expr	Tobramycin	0	0.4069	0.0015
expr	Tobramycin	0	0.4069	0.0025
expr	Tobramycin	0	0.4069	0.002
expr	Tobramycin	0	0.4069	0.001
gpa_expr_snps	Ceftazidim	43	0.8357	0.015
gpa_expr_snps	Ceftazidim	162	0.817	0.085
gpa_expr_snps	Ceftazidim	137	0.8169	0.04
gpa_expr_snps	Ceftazidim	19	0.8167	0.01
gpa_expr_snps	Ceftazidim	89	0.8133	0.02
gpa_expr_snps	Ceftazidim	123	0.8096	0.03
gpa_expr_snps	Ceftazidim	146	0.8094	0.05
gpa_expr_snps	Ceftazidim	102	0.8059	0.025
gpa_expr_snps	Ceftazidim	13	0.8054	0.0085
gpa_expr_snps	Ceftazidim	180	0.802	0.1
gpa_expr_snps	Ceftazidim	160	0.8019	0.07
gpa_expr_snps	Ceftazidim	235	0.7983	0.3
gpa_expr_snps	Ceftazidim	163	0.7909	0.2
gpa_expr_snps	Ceftazidim	165	0.7798	0.15
gpa_expr_snps	Ceftazidim	175	0.7761	0.25
gpa_expr_snps	Ceftazidim	133	0.7761	0.4
gpa_expr_snps	Ceftazidim	6	0.7751	0.007
gpa_expr_snps	Ceftazidim	121	0.7687	1.0
gpa_expr_snps	Ceftazidim	123	0.7686	0.85
gpa_expr_snps	Ceftazidim	133	0.7611	0.7
gpa_expr_snps	Ceftazidim	128	0.7351	0.5
gpa_expr_snps	Ceftazidim	2	0.7071	0.005
gpa_expr_snps	Ceftazidim	0	0.335	0.0015
gpa_expr_snps	Ceftazidim	1	0.335	0.004
gpa_expr_snps	Ceftazidim	0	0.335	0.003
gpa_expr_snps	Ceftazidim	0	0.335	0.0025
gpa_expr_snps	Ceftazidim	0	0.335	0.002
gpa_expr_snps	Ceftazidim	0	0.335	0.001
gpa_expr_snps	Ciprofloxacin	22	0.9079	0.015
gpa_expr_snps	Ciprofloxacin	51	0.9046	0.04
gpa_expr_snps	Ciprofloxacin	121	0.9044	0.3
gpa_expr_snps	Ciprofloxacin	50	0.9044	0.07
gpa_expr_snps	Ciprofloxacin	52	0.9044	0.05
gpa_expr_snps	Ciprofloxacin	41	0.901	0.02
gpa_expr_snps	Ciprofloxacin	48	0.9008	0.085
gpa_expr_snps	Ciprofloxacin	59	0.8975	0.4
gpa_expr_snps	Ciprofloxacin	54	0.8973	0.2
gpa_expr_snps	Ciprofloxacin	74	0.8947	1.0
gpa_expr_snps	Ciprofloxacin	47	0.8941	0.03
gpa_expr_snps	Ciprofloxacin	45	0.8939	0.15
gpa_expr_snps	Ciprofloxacin	76	0.8939	0.25
gpa_expr_snps	Ciprofloxacin	49	0.8937	0.1
gpa_expr_snps	Ciprofloxacin	154	0.8908	0.5
gpa_expr_snps	Ciprofloxacin	41	0.8906	0.025
gpa_expr_snps	Ciprofloxacin	1	0.8896	0.003
gpa_expr_snps	Ciprofloxacin	7	0.8896	0.0085
gpa_expr_snps	Ciprofloxacin	10	0.8896	0.01
gpa_expr_snps	Ciprofloxacin	1	0.8896	0.004
gpa_expr_snps	Ciprofloxacin	2	0.8896	0.005
gpa_expr_snps	Ciprofloxacin	5	0.8896	0.007
gpa_expr_snps	Ciprofloxacin	67	0.8843	0.85
gpa_expr_snps	Ciprofloxacin	67	0.8731	0.7
gpa_expr_snps	Ciprofloxacin	1	0.6906	0.0025
gpa_expr_snps	Ciprofloxacin	0	0.3084	0.002
gpa_expr_snps	Ciprofloxacin	0	0.3084	0.0015
gpa_expr_snps	Ciprofloxacin	0	0.3084	0.001
gpa_expr_snps	Meropenem	84	0.8838	0.85
gpa_expr_snps	Meropenem	143	0.8838	0.2
gpa_expr_snps	Meropenem	142	0.8838	0.1
gpa_expr_snps	Meropenem	107	0.8831	0.25
gpa_expr_snps	Meropenem	147	0.8831	0.15
gpa_expr_snps	Meropenem	136	0.8824	0.4
gpa_expr_snps	Meropenem	141	0.8807	0.07
gpa_expr_snps	Meropenem	99	0.8771	0.04
gpa_expr_snps	Meropenem	120	0.8771	0.05
gpa_expr_snps	Meropenem	97	0.8728	0.3
gpa_expr_snps	Meropenem	153	0.8692	0.085
gpa_expr_snps	Meropenem	71	0.8669	0.03
gpa_expr_snps	Meropenem	88	0.8662	0.7
gpa_expr_snps	Meropenem	58	0.8633	0.025
gpa_expr_snps	Meropenem	163	0.8617	0.5
gpa_expr_snps	Meropenem	93	0.8553	1.0
gpa_expr_snps	Meropenem	38	0.8534	0.02
gpa_expr_snps	Meropenem	19	0.8499	0.015
gpa_expr_snps	Meropenem	7	0.8457	0.0085
gpa_expr_snps	Meropenem	9	0.8422	0.01
gpa_expr_snps	Meropenem	5	0.8302	0.007
gpa_expr_snps	Meropenem	2	0.7549	0.005
gpa_expr_snps	Meropenem	1	0.3151	0.004
gpa_expr_snps	Meropenem	0	0.2386	0.0015
gpa_expr_snps	Meropenem	0	0.2386	0.003
gpa_expr_snps	Meropenem	0	0.2386	0.0025
gpa_expr_snps	Meropenem	0	0.2386	0.002
gpa_expr_snps	Meropenem	0	0.2386	0.001
gpa_expr_snps	Tobramycin	74	0.9038	0.7
gpa_expr_snps	Tobramycin	79	0.9015	0.04
gpa_expr_snps	Tobramycin	13	0.9005	0.0085
gpa_expr_snps	Tobramycin	93	0.8977	0.15
gpa_expr_snps	Tobramycin	95	0.8977	0.07
gpa_expr_snps	Tobramycin	59	0.8977	0.025
gpa_expr_snps	Tobramycin	50	0.8977	0.02
gpa_expr_snps	Tobramycin	37	0.8977	0.015
gpa_expr_snps	Tobramycin	83	0.8972	0.085
gpa_expr_snps	Tobramycin	84	0.8967	0.3
gpa_expr_snps	Tobramycin	65	0.8945	0.03
gpa_expr_snps	Tobramycin	92	0.8945	0.05
gpa_expr_snps	Tobramycin	17	0.8907	0.01
gpa_expr_snps	Tobramycin	5	0.8904	0.005
gpa_expr_snps	Tobramycin	112	0.8901	0.4
gpa_expr_snps	Tobramycin	71	0.889	0.5
gpa_expr_snps	Tobramycin	8	0.8877	0.007
gpa_expr_snps	Tobramycin	89	0.8842	0.1
gpa_expr_snps	Tobramycin	74	0.8836	0.2
gpa_expr_snps	Tobramycin	77	0.883	0.25
gpa_expr_snps	Tobramycin	66	0.8818	0.85
gpa_expr_snps	Tobramycin	64	0.8798	1.0
gpa_expr_snps	Tobramycin	4	0.8686	0.004
gpa_expr_snps	Tobramycin	2	0.8593	0.003
gpa_expr_snps	Tobramycin	1	0.624	0.0025
gpa_expr_snps	Tobramycin	0	0.4069	0.0015
gpa_expr_snps	Tobramycin	0	0.4069	0.002
gpa_expr_snps	Tobramycin	0	0.4069	0.001
gpa_expr	Ceftazidim	37	0.8544	0.015
gpa_expr	Ceftazidim	60	0.8321	0.02
gpa_expr	Ceftazidim	14	0.8317	0.01
gpa_expr	Ceftazidim	153	0.8246	0.085
gpa_expr	Ceftazidim	155	0.8207	0.1
gpa_expr	Ceftazidim	125	0.8134	1.0
gpa_expr	Ceftazidim	90	0.8134	0.025
gpa_expr	Ceftazidim	147	0.8133	0.07
gpa_expr	Ceftazidim	142	0.8133	0.05
gpa_expr	Ceftazidim	163	0.8097	0.2
gpa_expr	Ceftazidim	130	0.8096	0.04
gpa_expr	Ceftazidim	181	0.8022	0.5
gpa_expr	Ceftazidim	109	0.8021	0.03
