MIC	variable	value	mode	drug
1.0	misclassified	7.0	gpa_snps	Meropenem
2.0	misclassified	6.0	gpa_snps	Meropenem
8.0	misclassified	9.0	gpa_snps	Meropenem
16.0	misclassified	7.0	gpa_snps	Meropenem
32.0	misclassified	4.0	gpa_snps	Meropenem
64.0	misclassified	2.0	gpa_snps	Meropenem
128.0	misclassified	1.0	gpa_snps	Meropenem
256.0	misclassified	0.0	gpa_snps	Meropenem
512.0	misclassified	0.0	gpa_snps	Meropenem
4.0	intermediate (not classified)	60.0	gpa_snps	Meropenem
0.125	total	6.0	gpa_snps	Tobramycin
0.25	total	30.0	gpa_snps	Tobramycin
0.5	total	65.0	gpa_snps	Tobramycin
1.0	total	87.0	gpa_snps	Tobramycin
2.0	total	58.0	gpa_snps	Tobramycin
4.0	total	17.0	gpa_snps	Tobramycin
16.0	total	1.0	gpa_snps	Tobramycin
32.0	total	5.0	gpa_snps	Tobramycin
64.0	total	17.0	gpa_snps	Tobramycin
128.0	total	35.0	gpa_snps	Tobramycin
256.0	total	24.0	gpa_snps	Tobramycin
512.0	total	10.0	gpa_snps	Tobramycin
1024.0	total	17.0	gpa_snps	Tobramycin
0.125	misclassified	0.0	gpa_snps	Tobramycin
0.25	misclassified	3.0	gpa_snps	Tobramycin
0.5	misclassified	2.0	gpa_snps	Tobramycin
1.0	misclassified	5.0	gpa_snps	Tobramycin
2.0	misclassified	3.0	gpa_snps	Tobramycin
4.0	misclassified	1.0	gpa_snps	Tobramycin
16.0	misclassified	4.0	gpa_snps	Tobramycin
32.0	misclassified	1.0	gpa_snps	Tobramycin
64.0	misclassified	2.0	gpa_snps	Tobramycin
128.0	misclassified	2.0	gpa_snps	Tobramycin
256.0	misclassified	6.0	gpa_snps	Tobramycin
512.0	misclassified	3.0	gpa_snps	Tobramycin
1024.0	misclassified	2.0	gpa_snps	Tobramycin
8.0	intermediate (not classified)	8.0	gpa_snps	Tobramycin
0.5	total	4.0	gpa	Ceftazidim
1.0	total	24.0	gpa	Ceftazidim
2.0	total	32.0	gpa	Ceftazidim
4.0	total	31.0	gpa	Ceftazidim
8.0	total	34.0	gpa	Ceftazidim
32.0	total	27.0	gpa	Ceftazidim
64.0	total	31.0	gpa	Ceftazidim
128.0	total	29.0	gpa	Ceftazidim
256.0	total	5.0	gpa	Ceftazidim
512.0	total	8.0	gpa	Ceftazidim
1024.0	total	18.0	gpa	Ceftazidim
0.5	misclassified	1.0	gpa	Ceftazidim
1.0	misclassified	8.0	gpa	Ceftazidim
2.0	misclassified	12.0	gpa	Ceftazidim
4.0	misclassified	11.0	gpa	Ceftazidim
8.0	misclassified	12.0	gpa	Ceftazidim
32.0	misclassified	21.0	gpa	Ceftazidim
64.0	misclassified	10.0	gpa	Ceftazidim
128.0	misclassified	10.0	gpa	Ceftazidim
256.0	misclassified	6.0	gpa	Ceftazidim
512.0	misclassified	0.0	gpa	Ceftazidim
1024.0	misclassified	0.0	gpa	Ceftazidim
16.0	intermediate (not classified)	80.0	gpa	Ceftazidim
0.06	total	6.0	gpa	Ciprofloxacin
0.125	total	30.0	gpa	Ciprofloxacin
0.25	total	26.0	gpa	Ciprofloxacin
0.5	total	32.0	gpa	Ciprofloxacin
1.0	total	35.0	gpa	Ciprofloxacin
4.0	total	17.0	gpa	Ciprofloxacin
8.0	total	18.0	gpa	Ciprofloxacin
16.0	total	39.0	gpa	Ciprofloxacin
32.0	total	54.0	gpa	Ciprofloxacin
64.0	total	20.0	gpa	Ciprofloxacin
128.0	total	10.0	gpa	Ciprofloxacin
256.0	total	6.0	gpa	Ciprofloxacin
0.06	misclassified	5.0	gpa	Ciprofloxacin
0.125	misclassified	5.0	gpa	Ciprofloxacin
0.25	misclassified	4.0	gpa	Ciprofloxacin
0.5	misclassified	10.0	gpa	Ciprofloxacin
1.0	misclassified	6.0	gpa	Ciprofloxacin
4.0	misclassified	13.0	gpa	Ciprofloxacin
8.0	misclassified	8.0	gpa	Ciprofloxacin
16.0	misclassified	6.0	gpa	Ciprofloxacin
32.0	misclassified	3.0	gpa	Ciprofloxacin
64.0	misclassified	5.0	gpa	Ciprofloxacin
128.0	misclassified	0.0	gpa	Ciprofloxacin
256.0	misclassified	0.0	gpa	Ciprofloxacin
2.0	intermediate (not classified)	56.0	gpa	Ciprofloxacin
0.25	total	1.0	gpa	Colistin
0.5	total	10.0	gpa	Colistin
1.0	total	51.0	gpa	Colistin
2.0	total	218.0	gpa	Colistin
4.0	total	37.0	gpa	Colistin
8.0	total	8.0	gpa	Colistin
16.0	total	2.0	gpa	Colistin
32.0	total	0.0	gpa	Colistin
0.25	misclassified	1.0	gpa	Colistin
0.5	misclassified	1.0	gpa	Colistin
1.0	misclassified	7.0	gpa	Colistin
2.0	misclassified	40.0	gpa	Colistin
4.0	misclassified	32.0	gpa	Colistin
8.0	misclassified	5.0	gpa	Colistin
16.0	misclassified	0.0	gpa	Colistin
32.0	misclassified	1.0	gpa	Colistin
0.125	total	10.0	gpa	Meropenem
0.25	total	21.0	gpa	Meropenem
0.5	total	23.0	gpa	Meropenem
1.0	total	28.0	gpa	Meropenem
2.0	total	15.0	gpa	Meropenem
8.0	total	70.0	gpa	Meropenem
16.0	total	62.0	gpa	Meropenem
32.0	total	31.0	gpa	Meropenem
64.0	total	21.0	gpa	Meropenem
128.0	total	8.0	gpa	Meropenem
256.0	total	4.0	gpa	Meropenem
512.0	total	20.0	gpa	Meropenem
0.125	misclassified	0.0	gpa	Meropenem
0.25	misclassified	0.0	gpa	Meropenem
0.5	misclassified	1.0	gpa	Meropenem
1.0	misclassified	6.0	gpa	Meropenem
2.0	misclassified	6.0	gpa	Meropenem
8.0	misclassified	11.0	gpa	Meropenem
16.0	misclassified	9.0	gpa	Meropenem
32.0	misclassified	4.0	gpa	Meropenem
64.0	misclassified	3.0	gpa	Meropenem
128.0	misclassified	1.0	gpa	Meropenem
256.0	misclassified	0.0	gpa	Meropenem
512.0	misclassified	0.0	gpa	Meropenem
4.0	intermediate (not classified)	60.0	gpa	Meropenem
0.125	total	6.0	gpa	Tobramycin
0.25	total	31.0	gpa	Tobramycin
0.5	total	65.0	gpa	Tobramycin
1.0	total	86.0	gpa	Tobramycin
2.0	total	59.0	gpa	Tobramycin
4.0	total	17.0	gpa	Tobramycin
16.0	total	1.0	gpa	Tobramycin
32.0	total	4.0	gpa	Tobramycin
64.0	total	17.0	gpa	Tobramycin
128.0	total	35.0	gpa	Tobramycin
256.0	total	26.0	gpa	Tobramycin
512.0	total	11.0	gpa	Tobramycin
1024.0	total	18.0	gpa	Tobramycin
0.125	misclassified	0.0	gpa	Tobramycin
0.25	misclassified	2.0	gpa	Tobramycin
0.5	misclassified	2.0	gpa	Tobramycin
1.0	misclassified	6.0	gpa	Tobramycin
2.0	misclassified	2.0	gpa	Tobramycin
4.0	misclassified	1.0	gpa	Tobramycin
16.0	misclassified	4.0	gpa	Tobramycin
32.0	misclassified	2.0	gpa	Tobramycin
64.0	misclassified	2.0	gpa	Tobramycin
128.0	misclassified	2.0	gpa	Tobramycin
256.0	misclassified	4.0	gpa	Tobramycin
512.0	misclassified	2.0	gpa	Tobramycin
1024.0	misclassified	1.0	gpa	Tobramycin
8.0	intermediate (not classified)	8.0	gpa	Tobramycin
0.5	total	4.0	snps	Ceftazidim
1.0	total	22.0	snps	Ceftazidim
2.0	total	32.0	snps	Ceftazidim
4.0	total	30.0	snps	Ceftazidim
8.0	total	33.0	snps	Ceftazidim
32.0	total	27.0	snps	Ceftazidim
64.0	total	30.0	snps	Ceftazidim
128.0	total	26.0	snps	Ceftazidim
256.0	total	6.0	snps	Ceftazidim
512.0	total	7.0	snps	Ceftazidim
1024.0	total	18.0	snps	Ceftazidim
0.5	misclassified	1.0	snps	Ceftazidim
1.0	misclassified	10.0	snps	Ceftazidim
2.0	misclassified	12.0	snps	Ceftazidim
4.0	misclassified	12.0	snps	Ceftazidim
8.0	misclassified	13.0	snps	Ceftazidim
32.0	misclassified	21.0	snps	Ceftazidim
64.0	misclassified	11.0	snps	Ceftazidim
128.0	misclassified	13.0	snps	Ceftazidim
256.0	misclassified	5.0	snps	Ceftazidim
512.0	misclassified	1.0	snps	Ceftazidim
1024.0	misclassified	0.0	snps	Ceftazidim
16.0	intermediate (not classified)	80.0	snps	Ceftazidim
0.06	total	11.0	snps	Ciprofloxacin
0.125	total	34.0	snps	Ciprofloxacin
0.25	total	28.0	snps	Ciprofloxacin
0.5	total	36.0	snps	Ciprofloxacin
1.0	total	33.0	snps	Ciprofloxacin
4.0	total	26.0	snps	Ciprofloxacin
8.0	total	20.0	snps	Ciprofloxacin
16.0	total	44.0	snps	Ciprofloxacin
32.0	total	56.0	snps	Ciprofloxacin
64.0	total	25.0	snps	Ciprofloxacin
128.0	total	10.0	snps	Ciprofloxacin
256.0	total	6.0	snps	Ciprofloxacin
0.06	misclassified	0.0	snps	Ciprofloxacin
0.125	misclassified	1.0	snps	Ciprofloxacin
0.25	misclassified	2.0	snps	Ciprofloxacin
0.5	misclassified	6.0	snps	Ciprofloxacin
1.0	misclassified	8.0	snps	Ciprofloxacin
4.0	misclassified	4.0	snps	Ciprofloxacin
8.0	misclassified	6.0	snps	Ciprofloxacin
16.0	misclassified	1.0	snps	Ciprofloxacin
32.0	misclassified	1.0	snps	Ciprofloxacin
64.0	misclassified	0.0	snps	Ciprofloxacin
128.0	misclassified	0.0	snps	Ciprofloxacin
256.0	misclassified	0.0	snps	Ciprofloxacin
2.0	intermediate (not classified)	56.0	snps	Ciprofloxacin
0.25	total	1.0	snps	Colistin
0.5	total	10.0	snps	Colistin
1.0	total	51.0	snps	Colistin
2.0	total	213.0	snps	Colistin
4.0	total	41.0	snps	Colistin
8.0	total	7.0	snps	Colistin
16.0	total	1.0	snps	Colistin
32.0	total	1.0	snps	Colistin
0.25	misclassified	1.0	snps	Colistin
0.5	misclassified	1.0	snps	Colistin
1.0	misclassified	7.0	snps	Colistin
2.0	misclassified	45.0	snps	Colistin
4.0	misclassified	28.0	snps	Colistin
8.0	misclassified	6.0	snps	Colistin
16.0	misclassified	1.0	snps	Colistin
32.0	misclassified	0.0	snps	Colistin
0.125	total	7.0	snps	Meropenem
0.25	total	14.0	snps	Meropenem
0.5	total	15.0	snps	Meropenem
1.0	total	18.0	snps	Meropenem
2.0	total	9.0	snps	Meropenem
8.0	total	52.0	snps	Meropenem
16.0	total	52.0	snps	Meropenem
32.0	total	21.0	snps	Meropenem
64.0	total	20.0	snps	Meropenem
128.0	total	7.0	snps	Meropenem
256.0	total	3.0	snps	Meropenem
512.0	total	20.0	snps	Meropenem
0.125	misclassified	3.0	snps	Meropenem
0.25	misclassified	7.0	snps	Meropenem
0.5	misclassified	9.0	snps	Meropenem
1.0	misclassified	16.0	snps	Meropenem
2.0	misclassified	12.0	snps	Meropenem
8.0	misclassified	29.0	snps	Meropenem
16.0	misclassified	19.0	snps	Meropenem
32.0	misclassified	14.0	snps	Meropenem
64.0	misclassified	4.0	snps	Meropenem
128.0	misclassified	2.0	snps	Meropenem
256.0	misclassified	1.0	snps	Meropenem
512.0	misclassified	0.0	snps	Meropenem
4.0	intermediate (not classified)	60.0	snps	Meropenem
0.125	total	5.0	snps	Tobramycin
0.25	total	30.0	snps	Tobramycin
0.5	total	63.0	snps	Tobramycin
1.0	total	89.0	snps	Tobramycin
2.0	total	58.0	snps	Tobramycin
4.0	total	17.0	snps	Tobramycin
16.0	total	2.0	snps	Tobramycin
32.0	total	4.0	snps	Tobramycin
64.0	total	18.0	snps	Tobramycin
128.0	total	33.0	snps	Tobramycin
256.0	total	26.0	snps	Tobramycin
512.0	total	11.0	snps	Tobramycin
1024.0	total	17.0	snps	Tobramycin
0.125	misclassified	1.0	snps	Tobramycin
0.25	misclassified	3.0	snps	Tobramycin
0.5	misclassified	4.0	snps	Tobramycin
1.0	misclassified	3.0	snps	Tobramycin
2.0	misclassified	3.0	snps	Tobramycin
4.0	misclassified	1.0	snps	Tobramycin
16.0	misclassified	3.0	snps	Tobramycin
32.0	misclassified	2.0	snps	Tobramycin
64.0	misclassified	1.0	snps	Tobramycin
128.0	misclassified	4.0	snps	Tobramycin
256.0	misclassified	4.0	snps	Tobramycin
512.0	misclassified	2.0	snps	Tobramycin
1024.0	misclassified	2.0	snps	Tobramycin
8.0	intermediate (not classified)	8.0	snps	Tobramycin
