drug	F1-score_macro	measure	mode	no_samples
Tobramycin	0.863	F1-score_macro	gpa	165
Meropenem	0.572	F1-score_macro	snps	165
Ciprofloxacin	0.913	F1-score_macro	snps	165
Ceftazidim	0.555	F1-score_macro	snps	165
Tobramycin	0.861	F1-score_macro	snps	165
Meropenem	0.656	F1-score_macro	expr_snps	165
Ciprofloxacin	0.879	F1-score_macro	expr_snps	165
Ceftazidim	0.767	F1-score_macro	expr_snps	165
Tobramycin	0.857	F1-score_macro	expr_snps	165
Meropenem	0.845	F1-score_macro	expr	165
Ciprofloxacin	0.746	F1-score_macro	expr	165
Ceftazidim	0.698	F1-score_macro	expr	165
Tobramycin	0.899	F1-score_macro	expr	165
Meropenem	0.798	F1-score_macro	gpa_expr_snps	165
Ciprofloxacin	0.878	F1-score_macro	gpa_expr_snps	165
Ceftazidim	0.79	F1-score_macro	gpa_expr_snps	165
Tobramycin	0.878	F1-score_macro	gpa_expr_snps	165
Meropenem	0.79	F1-score_macro	gpa_expr	165
Ciprofloxacin	0.693	F1-score_macro	gpa_expr	165
Ceftazidim	0.806	F1-score_macro	gpa_expr	165
Tobramycin	0.87	F1-score_macro	gpa_expr	165
Meropenem	0.729	F1-score_macro	gpa_snps	165
Ciprofloxacin	0.878	F1-score_macro	gpa_snps	165
Ceftazidim	0.581	F1-score_macro	gpa_snps	165
Tobramycin	0.843	F1-score_macro	gpa_snps	165
Meropenem	0.782	F1-score_macro	gpa	165
Ciprofloxacin	0.672	F1-score_macro	gpa	165
Ceftazidim	0.58	F1-score_macro	gpa	165
Tobramycin	0.853	F1-score_macro	gpa	165
Meropenem	0.479	F1-score_macro	snps	165
Ciprofloxacin	0.878	F1-score_macro	snps	165
Ceftazidim	0.558	F1-score_macro	snps	165
Tobramycin	0.864	F1-score_macro	snps	165
Meropenem	0.69	F1-score_macro	expr_snps	207
Ciprofloxacin	0.858	F1-score_macro	expr_snps	207
Ceftazidim	0.772	F1-score_macro	expr_snps	207
Tobramycin	0.878	F1-score_macro	expr_snps	207
Meropenem	0.782	F1-score_macro	expr	207
Ciprofloxacin	0.744	F1-score_macro	expr	207
Ceftazidim	0.797	F1-score_macro	expr	207
Tobramycin	0.894	F1-score_macro	expr	207
Meropenem	0.866	F1-score_macro	gpa_expr_snps	207
Ciprofloxacin	0.852	F1-score_macro	gpa_expr_snps	207
Ceftazidim	0.798	F1-score_macro	gpa_expr_snps	207
Tobramycin	0.897	F1-score_macro	gpa_expr_snps	207
Meropenem	0.847	F1-score_macro	gpa_expr	207
Ciprofloxacin	0.688	F1-score_macro	gpa_expr	207
Ceftazidim	0.81	F1-score_macro	gpa_expr	207
Tobramycin	0.919	F1-score_macro	gpa_expr	207
Meropenem	0.83	F1-score_macro	gpa_snps	207
Ciprofloxacin	0.857	F1-score_macro	gpa_snps	207
Ceftazidim	0.674	F1-score_macro	gpa_snps	207
Tobramycin	0.902	F1-score_macro	gpa_snps	207
Meropenem	0.832	F1-score_macro	gpa	207
Ciprofloxacin	0.697	F1-score_macro	gpa	207
Ceftazidim	0.699	F1-score_macro	gpa	207
Tobramycin	0.908	F1-score_macro	gpa	207
Meropenem	0.508	F1-score_macro	snps	207
Ciprofloxacin	0.845	F1-score_macro	snps	207
Ceftazidim	0.624	F1-score_macro	snps	207
Tobramycin	0.87	F1-score_macro	snps	207
Meropenem	0.802	F1-score_macro	expr_snps	207
Ciprofloxacin	0.899	F1-score_macro	expr_snps	207
Ceftazidim	0.78	F1-score_macro	expr_snps	207
Tobramycin	0.875	F1-score_macro	expr_snps	207
Meropenem	0.85	F1-score_macro	expr	207
Ciprofloxacin	0.768	F1-score_macro	expr	207
Ceftazidim	0.798	F1-score_macro	expr	207
Tobramycin	0.857	F1-score_macro	expr	207
Meropenem	0.861	F1-score_macro	gpa_expr_snps	207
Ciprofloxacin	0.899	F1-score_macro	gpa_expr_snps	207
Ceftazidim	0.773	F1-score_macro	gpa_expr_snps	207
Tobramycin	0.936	F1-score_macro	gpa_expr_snps	207
Meropenem	0.87	F1-score_macro	gpa_expr	207
Ciprofloxacin	0.774	F1-score_macro	gpa_expr	207
Ceftazidim	0.82	F1-score_macro	gpa_expr	207
Tobramycin	0.936	F1-score_macro	gpa_expr	207
Meropenem	0.819	F1-score_macro	gpa_snps	207
Ciprofloxacin	0.899	F1-score_macro	gpa_snps	207
Ceftazidim	0.599	F1-score_macro	gpa_snps	207
Tobramycin	0.918	F1-score_macro	gpa_snps	207
Meropenem	0.861	F1-score_macro	gpa	207
Ciprofloxacin	0.722	F1-score_macro	gpa	207
Ceftazidim	0.644	F1-score_macro	gpa	207
Tobramycin	0.917	F1-score_macro	gpa	207
Meropenem	0.529	F1-score_macro	snps	207
Ciprofloxacin	0.899	F1-score_macro	snps	207
Ceftazidim	0.574	F1-score_macro	snps	207
Tobramycin	0.879	F1-score_macro	snps	207
Meropenem	0.804	F1-score_macro	expr_snps	207
Ciprofloxacin	0.883	F1-score_macro	expr_snps	207
Ceftazidim	0.723	F1-score_macro	expr_snps	207
Tobramycin	0.88	F1-score_macro	expr_snps	207
Meropenem	0.878	F1-score_macro	expr	207
Ciprofloxacin	0.777	F1-score_macro	expr	207
Ceftazidim	0.819	F1-score_macro	expr	207
Tobramycin	0.902	F1-score_macro	expr	207
Meropenem	0.881	F1-score_macro	gpa_expr_snps	207
Ciprofloxacin	0.883	F1-score_macro	gpa_expr_snps	207
Ceftazidim	0.717	F1-score_macro	gpa_expr_snps	207
Tobramycin	0.913	F1-score_macro	gpa_expr_snps	207
Meropenem	0.9	F1-score_macro	gpa_expr	207
Ciprofloxacin	0.798	F1-score_macro	gpa_expr	207
Ceftazidim	0.785	F1-score_macro	gpa_expr	207
Tobramycin	0.922	F1-score_macro	gpa_expr	207
Meropenem	0.813	F1-score_macro	gpa_snps	207
Ciprofloxacin	0.883	F1-score_macro	gpa_snps	207
Ceftazidim	0.621	F1-score_macro	gpa_snps	207
Tobramycin	0.89	F1-score_macro	gpa_snps	207
Meropenem	0.833	F1-score_macro	gpa	207
Ciprofloxacin	0.711	F1-score_macro	gpa	207
Ceftazidim	0.661	F1-score_macro	gpa	207
Tobramycin	0.9	F1-score_macro	gpa	207
Meropenem	0.585	F1-score_macro	snps	207
Ciprofloxacin	0.877	F1-score_macro	snps	207
Ceftazidim	0.554	F1-score_macro	snps	207
Tobramycin	0.89	F1-score_macro	snps	207
Meropenem	0.787	F1-score_macro	expr_snps	207
Ciprofloxacin	0.918	F1-score_macro	expr_snps	207
Ceftazidim	0.824	F1-score_macro	expr_snps	207
Tobramycin	0.879	F1-score_macro	expr_snps	207
Meropenem	0.891	F1-score_macro	expr	207
Ciprofloxacin	0.775	F1-score_macro	expr	207
Ceftazidim	0.757	F1-score_macro	expr	207
Tobramycin	0.893	F1-score_macro	expr	207
Meropenem	0.881	F1-score_macro	gpa_expr_snps	207
Ciprofloxacin	0.918	F1-score_macro	gpa_expr_snps	207
Ceftazidim	0.781	F1-score_macro	gpa_expr_snps	207
Tobramycin	0.882	F1-score_macro	gpa_expr_snps	207
Meropenem	0.861	F1-score_macro	gpa_expr	207
Ciprofloxacin	0.815	F1-score_macro	gpa_expr	207
Ceftazidim	0.782	F1-score_macro	gpa_expr	207
Tobramycin	0.856	F1-score_macro	gpa_expr	207
Meropenem	0.862	F1-score_macro	gpa_snps	207
Ciprofloxacin	0.918	F1-score_macro	gpa_snps	207
Ceftazidim	0.68	F1-score_macro	gpa_snps	207
Tobramycin	0.86	F1-score_macro	gpa_snps	207
Meropenem	0.876	F1-score_macro	gpa	207
Ciprofloxacin	0.792	F1-score_macro	gpa	207
Ceftazidim	0.702	F1-score_macro	gpa	207
Tobramycin	0.87	F1-score_macro	gpa	207
Meropenem	0.569	F1-score_macro	snps	207
Ciprofloxacin	0.906	F1-score_macro	snps	207
Ceftazidim	0.712	F1-score_macro	snps	207
Tobramycin	0.873	F1-score_macro	snps	207
Meropenem	0.724	F1-score_macro	expr_snps	207
Ciprofloxacin	0.88	F1-score_macro	expr_snps	207
Ceftazidim	0.847	F1-score_macro	expr_snps	207
Tobramycin	0.893	F1-score_macro	expr_snps	207
Meropenem	0.833	F1-score_macro	expr	207
Ciprofloxacin	0.745	F1-score_macro	expr	207
Ceftazidim	0.793	F1-score_macro	expr	207
Tobramycin	0.94	F1-score_macro	expr	207
Meropenem	0.792	F1-score_macro	gpa_expr_snps	207
Ciprofloxacin	0.88	F1-score_macro	gpa_expr_snps	207
Ceftazidim	0.834	F1-score_macro	gpa_expr_snps	207
Tobramycin	0.914	F1-score_macro	gpa_expr_snps	207
Meropenem	0.785	F1-score_macro	gpa_expr	207
Ciprofloxacin	0.718	F1-score_macro	gpa_expr	207
Ceftazidim	0.816	F1-score_macro	gpa_expr	207
Tobramycin	0.901	F1-score_macro	gpa_expr	207
Meropenem	0.784	F1-score_macro	gpa_snps	207
Ciprofloxacin	0.863	F1-score_macro	gpa_snps	207
Ceftazidim	0.681	F1-score_macro	gpa_snps	207
Tobramycin	0.925	F1-score_macro	gpa_snps	207
Meropenem	0.797	F1-score_macro	gpa	207
Ciprofloxacin	0.652	F1-score_macro	gpa	207
Ceftazidim	0.631	F1-score_macro	gpa	207
Tobramycin	0.893	F1-score_macro	gpa	207
Meropenem	0.467	F1-score_macro	snps	207
Ciprofloxacin	0.88	F1-score_macro	snps	207
Ceftazidim	0.629	F1-score_macro	snps	207
Tobramycin	0.902	F1-score_macro	snps	207
Meropenem	0.75	F1-score_macro	expr_snps	248
Ciprofloxacin	0.848	F1-score_macro	expr_snps	248
Ceftazidim	0.775	F1-score_macro	expr_snps	248
Tobramycin	0.886	F1-score_macro	expr_snps	248
Meropenem	0.792	F1-score_macro	expr	248
Ciprofloxacin	0.746	F1-score_macro	expr	248
Ceftazidim	0.796	F1-score_macro	expr	248
Tobramycin	0.875	F1-score_macro	expr	248
Meropenem	0.88	F1-score_macro	gpa_expr_snps	248
Ciprofloxacin	0.857	F1-score_macro	gpa_expr_snps	248
Ceftazidim	0.755	F1-score_macro	gpa_expr_snps	248
Tobramycin	0.896	F1-score_macro	gpa_expr_snps	248
Meropenem	0.874	F1-score_macro	gpa_expr	248
Ciprofloxacin	0.764	F1-score_macro	gpa_expr	248
Ceftazidim	0.796	F1-score_macro	gpa_expr	248
Tobramycin	0.919	F1-score_macro	gpa_expr	248
Meropenem	0.834	F1-score_macro	gpa_snps	248
Ciprofloxacin	0.866	F1-score_macro	gpa_snps	248
Ceftazidim	0.622	F1-score_macro	gpa_snps	248
Tobramycin	0.879	F1-score_macro	gpa_snps	248
Meropenem	0.862	F1-score_macro	gpa	248
Ciprofloxacin	0.717	F1-score_macro	gpa	248
Ceftazidim	0.658	F1-score_macro	gpa	248
Tobramycin	0.894	F1-score_macro	gpa	248
Meropenem	0.549	F1-score_macro	snps	248
Ciprofloxacin	0.866	F1-score_macro	snps	248
Ceftazidim	0.601	F1-score_macro	snps	248
Tobramycin	0.843	F1-score_macro	snps	248
Meropenem	0.822	F1-score_macro	expr_snps	248
Ciprofloxacin	0.879	F1-score_macro	expr_snps	248
Ceftazidim	0.692	F1-score_macro	expr_snps	248
Tobramycin	0.882	F1-score_macro	expr_snps	248
Meropenem	0.839	F1-score_macro	expr	248
Ciprofloxacin	0.78	F1-score_macro	expr	248
Ceftazidim	0.775	F1-score_macro	expr	248
Tobramycin	0.911	F1-score_macro	expr	248
Meropenem	0.843	F1-score_macro	gpa_expr_snps	248
Ciprofloxacin	0.884	F1-score_macro	gpa_expr_snps	248
Ceftazidim	0.741	F1-score_macro	gpa_expr_snps	248
Tobramycin	0.916	F1-score_macro	gpa_expr_snps	248
Meropenem	0.889	F1-score_macro	gpa_expr	248
Ciprofloxacin	0.823	F1-score_macro	gpa_expr	248
Ceftazidim	0.804	F1-score_macro	gpa_expr	248
Tobramycin	0.92	F1-score_macro	gpa_expr	248
Meropenem	0.843	F1-score_macro	gpa_snps	248
Ciprofloxacin	0.884	F1-score_macro	gpa_snps	248
Ceftazidim	0.618	F1-score_macro	gpa_snps	248
Tobramycin	0.911	F1-score_macro	gpa_snps	248
Meropenem	0.862	F1-score_macro	gpa	248
Ciprofloxacin	0.765	F1-score_macro	gpa	248
Ceftazidim	0.61	F1-score_macro	gpa	248
Tobramycin	0.924	F1-score_macro	gpa	248
Meropenem	0.588	F1-score_macro	snps	248
Ciprofloxacin	0.879	F1-score_macro	snps	248
Ceftazidim	0.624	F1-score_macro	snps	248
Tobramycin	0.901	F1-score_macro	snps	248
Meropenem	0.799	F1-score_macro	expr_snps	248
Ciprofloxacin	0.896	F1-score_macro	expr_snps	248
Ceftazidim	0.795	F1-score_macro	expr_snps	248
Tobramycin	0.898	F1-score_macro	expr_snps	248
Meropenem	0.852	F1-score_macro	expr	248
Ciprofloxacin	0.749	F1-score_macro	expr	248
Ceftazidim	0.839	F1-score_macro	expr	248
Tobramycin	0.939	F1-score_macro	expr	248
Meropenem	0.831	F1-score_macro	gpa_expr_snps	248
Ciprofloxacin	0.896	F1-score_macro	gpa_expr_snps	248
Ceftazidim	0.785	F1-score_macro	gpa_expr_snps	248
Tobramycin	0.935	F1-score_macro	gpa_expr_snps	248
Meropenem	0.864	F1-score_macro	gpa_expr	248
Ciprofloxacin	0.805	F1-score_macro	gpa_expr	248
Ceftazidim	0.8	F1-score_macro	gpa_expr	248
Tobramycin	0.939	F1-score_macro	gpa_expr	248
Meropenem	0.826	F1-score_macro	gpa_snps	248
Ciprofloxacin	0.896	F1-score_macro	gpa_snps	248
Ceftazidim	0.614	F1-score_macro	gpa_snps	248
Tobramycin	0.902	F1-score_macro	gpa_snps	248
Meropenem	0.856	F1-score_macro	gpa	248
Ciprofloxacin	0.74	F1-score_macro	gpa	248
Ceftazidim	0.653	F1-score_macro	gpa	248
Tobramycin	0.925	F1-score_macro	gpa	248
Meropenem	0.635	F1-score_macro	snps	248
Ciprofloxacin	0.896	F1-score_macro	snps	248
Ceftazidim	0.571	F1-score_macro	snps	248
Tobramycin	0.888	F1-score_macro	snps	248
Meropenem	0.846	F1-score_macro	expr_snps	248
Ciprofloxacin	0.892	F1-score_macro	expr_snps	248
Ceftazidim	0.795	F1-score_macro	expr_snps	248
Tobramycin	0.887	F1-score_macro	expr_snps	248
Meropenem	0.853	F1-score_macro	expr	248
Ciprofloxacin	0.783	F1-score_macro	expr	248
Ceftazidim	0.785	F1-score_macro	expr	248
Tobramycin	0.869	F1-score_macro	expr	248
Meropenem	0.899	F1-score_macro	gpa_expr_snps	248
Ciprofloxacin	0.907	F1-score_macro	gpa_expr_snps	248
Ceftazidim	0.774	F1-score_macro	gpa_expr_snps	248
Tobramycin	0.899	F1-score_macro	gpa_expr_snps	248
Meropenem	0.888	F1-score_macro	gpa_expr	248
Ciprofloxacin	0.837	F1-score_macro	gpa_expr	248
Ceftazidim	0.805	F1-score_macro	gpa_expr	248
Tobramycin	0.899	F1-score_macro	gpa_expr	248
Meropenem	0.859	F1-score_macro	gpa_snps	248
Ciprofloxacin	0.888	F1-score_macro	gpa_snps	248
Ceftazidim	0.682	F1-score_macro	gpa_snps	248
Tobramycin	0.857	F1-score_macro	gpa_snps	248
Meropenem	0.848	F1-score_macro	gpa	248
Ciprofloxacin	0.79	F1-score_macro	gpa	248
Ceftazidim	0.708	F1-score_macro	gpa	248
Tobramycin	0.888	F1-score_macro	gpa	248
Meropenem	0.562	F1-score_macro	snps	248
Ciprofloxacin	0.907	F1-score_macro	snps	248
Ceftazidim	0.677	F1-score_macro	snps	248
Tobramycin	0.854	F1-score_macro	snps	248
Meropenem	0.762	F1-score_macro	expr_snps	248
Ciprofloxacin	0.877	F1-score_macro	expr_snps	248
Ceftazidim	0.808	F1-score_macro	expr_snps	248
Tobramycin	0.882	F1-score_macro	expr_snps	248
Meropenem	0.846	F1-score_macro	expr	248
Ciprofloxacin	0.773	F1-score_macro	expr	248
Ceftazidim	0.798	F1-score_macro	expr	248
Tobramycin	0.893	F1-score_macro	expr	248
Meropenem	0.873	F1-score_macro	gpa_expr_snps	248
Ciprofloxacin	0.882	F1-score_macro	gpa_expr_snps	248
Ceftazidim	0.809	F1-score_macro	gpa_expr_snps	248
Tobramycin	0.896	F1-score_macro	gpa_expr_snps	248
Meropenem	0.871	F1-score_macro	gpa_expr	248
Ciprofloxacin	0.721	F1-score_macro	gpa_expr	248
Ceftazidim	0.823	F1-score_macro	gpa_expr	248
Tobramycin	0.911	F1-score_macro	gpa_expr	248
Meropenem	0.814	F1-score_macro	gpa_snps	248
Ciprofloxacin	0.877	F1-score_macro	gpa_snps	248
Ceftazidim	0.677	F1-score_macro	gpa_snps	248
Tobramycin	0.908	F1-score_macro	gpa_snps	248
Meropenem	0.825	F1-score_macro	gpa	248
Ciprofloxacin	0.756	F1-score_macro	gpa	248
Ceftazidim	0.623	F1-score_macro	gpa	248
Tobramycin	0.918	F1-score_macro	gpa	248
Meropenem	0.506	F1-score_macro	snps	248
Ciprofloxacin	0.857	F1-score_macro	snps	248
Ceftazidim	0.683	F1-score_macro	snps	248
Tobramycin	0.865	F1-score_macro	snps	248
Meropenem	0.751	F1-score_macro	expr_snps	289
Ciprofloxacin	0.873	F1-score_macro	expr_snps	289
Ceftazidim	0.731	F1-score_macro	expr_snps	289
Tobramycin	0.884	F1-score_macro	expr_snps	289
Meropenem	0.843	F1-score_macro	expr	289
Ciprofloxacin	0.752	F1-score_macro	expr	289
Ceftazidim	0.789	F1-score_macro	expr	289
Tobramycin	0.877	F1-score_macro	expr	289
Meropenem	0.882	F1-score_macro	gpa_expr_snps	289
Ciprofloxacin	0.874	F1-score_macro	gpa_expr_snps	289
Ceftazidim	0.766	F1-score_macro	gpa_expr_snps	289
Tobramycin	0.892	F1-score_macro	gpa_expr_snps	289
Meropenem	0.872	F1-score_macro	gpa_expr	289
Ciprofloxacin	0.749	F1-score_macro	gpa_expr	289
Ceftazidim	0.784	F1-score_macro	gpa_expr	289
Tobramycin	0.911	F1-score_macro	gpa_expr	289
Meropenem	0.872	F1-score_macro	gpa_snps	289
Ciprofloxacin	0.861	F1-score_macro	gpa_snps	289
Ceftazidim	0.705	F1-score_macro	gpa_snps	289
Tobramycin	0.898	F1-score_macro	gpa_snps	289
Meropenem	0.872	F1-score_macro	gpa	289
Ciprofloxacin	0.773	F1-score_macro	gpa	289
Ceftazidim	0.69	F1-score_macro	gpa	289
Tobramycin	0.893	F1-score_macro	gpa	289
Meropenem	0.473	F1-score_macro	snps	289
Ciprofloxacin	0.873	F1-score_macro	snps	289
Ceftazidim	0.612	F1-score_macro	snps	289
Tobramycin	0.856	F1-score_macro	snps	289
Meropenem	0.796	F1-score_macro	expr_snps	289
Ciprofloxacin	0.886	F1-score_macro	expr_snps	289
Ceftazidim	0.777	F1-score_macro	expr_snps	289
Tobramycin	0.898	F1-score_macro	expr_snps	289
Meropenem	0.867	F1-score_macro	expr	289
Ciprofloxacin	0.793	F1-score_macro	expr	289
Ceftazidim	0.782	F1-score_macro	expr	289
Tobramycin	0.894	F1-score_macro	expr	289
Meropenem	0.855	F1-score_macro	gpa_expr_snps	289
Ciprofloxacin	0.874	F1-score_macro	gpa_expr_snps	289
Ceftazidim	0.786	F1-score_macro	gpa_expr_snps	289
Tobramycin	0.917	F1-score_macro	gpa_expr_snps	289
Meropenem	0.896	F1-score_macro	gpa_expr	289
Ciprofloxacin	0.802	F1-score_macro	gpa_expr	289
Ceftazidim	0.795	F1-score_macro	gpa_expr	289
Tobramycin	0.929	F1-score_macro	gpa_expr	289
Meropenem	0.86	F1-score_macro	gpa_snps	289
Ciprofloxacin	0.886	F1-score_macro	gpa_snps	289
Ceftazidim	0.658	F1-score_macro	gpa_snps	289
Tobramycin	0.912	F1-score_macro	gpa_snps	289
Meropenem	0.867	F1-score_macro	gpa	289
Ciprofloxacin	0.789	F1-score_macro	gpa	289
Ceftazidim	0.695	F1-score_macro	gpa	289
Tobramycin	0.928	F1-score_macro	gpa	289
Meropenem	0.549	F1-score_macro	snps	289
Ciprofloxacin	0.882	F1-score_macro	snps	289
Ceftazidim	0.615	F1-score_macro	snps	289
Tobramycin	0.904	F1-score_macro	snps	289
Meropenem	0.807	F1-score_macro	expr_snps	289
Ciprofloxacin	0.891	F1-score_macro	expr_snps	289
Ceftazidim	0.821	F1-score_macro	expr_snps	289
Tobramycin	0.916	F1-score_macro	expr_snps	289
Meropenem	0.853	F1-score_macro	expr	289
Ciprofloxacin	0.769	F1-score_macro	expr	289
Ceftazidim	0.821	F1-score_macro	expr	289
Tobramycin	0.917	F1-score_macro	expr	289
Meropenem	0.857	F1-score_macro	gpa_expr_snps	289
Ciprofloxacin	0.879	F1-score_macro	gpa_expr_snps	289
Ceftazidim	0.817	F1-score_macro	gpa_expr_snps	289
Tobramycin	0.929	F1-score_macro	gpa_expr_snps	289
Meropenem	0.87	F1-score_macro	gpa_expr	289
Ciprofloxacin	0.809	F1-score_macro	gpa_expr	289
Ceftazidim	0.858	F1-score_macro	gpa_expr	289
Tobramycin	0.92	F1-score_macro	gpa_expr	289
Meropenem	0.844	F1-score_macro	gpa_snps	289
Ciprofloxacin	0.88	F1-score_macro	gpa_snps	289
Ceftazidim	0.646	F1-score_macro	gpa_snps	289
Tobramycin	0.912	F1-score_macro	gpa_snps	289
Meropenem	0.858	F1-score_macro	gpa	289
Ciprofloxacin	0.77	F1-score_macro	gpa	289
Ceftazidim	0.662	F1-score_macro	gpa	289
Tobramycin	0.913	F1-score_macro	gpa	289
Meropenem	0.583	F1-score_macro	snps	289
Ciprofloxacin	0.891	F1-score_macro	snps	289
Ceftazidim	0.641	F1-score_macro	snps	289
Tobramycin	0.893	F1-score_macro	snps	289
Meropenem	0.865	F1-score_macro	expr_snps	289
Ciprofloxacin	0.908	F1-score_macro	expr_snps	289
Ceftazidim	0.677	F1-score_macro	expr_snps	289
Tobramycin	0.862	F1-score_macro	expr_snps	289
Meropenem	0.853	F1-score_macro	expr	289
Ciprofloxacin	0.819	F1-score_macro	expr	289
Ceftazidim	0.751	F1-score_macro	expr	289
Tobramycin	0.867	F1-score_macro	expr	289
Meropenem	0.902	F1-score_macro	gpa_expr_snps	289
Ciprofloxacin	0.9	F1-score_macro	gpa_expr_snps	289
Ceftazidim	0.734	F1-score_macro	gpa_expr_snps	289
Tobramycin	0.926	F1-score_macro	gpa_expr_snps	289
Meropenem	0.902	F1-score_macro	gpa_expr	289
Ciprofloxacin	0.815	F1-score_macro	gpa_expr	289
Ceftazidim	0.768	F1-score_macro	gpa_expr	289
Tobramycin	0.914	F1-score_macro	gpa_expr	289
Meropenem	0.853	F1-score_macro	gpa_snps	289
Ciprofloxacin	0.908	F1-score_macro	gpa_snps	289
Ceftazidim	0.633	F1-score_macro	gpa_snps	289
Tobramycin	0.909	F1-score_macro	gpa_snps	289
Meropenem	0.879	F1-score_macro	gpa	289
Ciprofloxacin	0.819	F1-score_macro	gpa	289
Ceftazidim	0.671	F1-score_macro	gpa	289
Tobramycin	0.904	F1-score_macro	gpa	289
Meropenem	0.54	F1-score_macro	snps	289
Ciprofloxacin	0.904	F1-score_macro	snps	289
Ceftazidim	0.655	F1-score_macro	snps	289
Tobramycin	0.871	F1-score_macro	snps	289
Meropenem	0.853	F1-score_macro	expr_snps	289
Ciprofloxacin	0.86	F1-score_macro	expr_snps	289
Ceftazidim	0.829	F1-score_macro	expr_snps	289
Tobramycin	0.893	F1-score_macro	expr_snps	289
Meropenem	0.918	F1-score_macro	expr	289
Ciprofloxacin	0.774	F1-score_macro	expr	289
Ceftazidim	0.825	F1-score_macro	expr	289
Tobramycin	0.914	F1-score_macro	expr	289
Meropenem	0.869	F1-score_macro	gpa_expr_snps	289
Ciprofloxacin	0.864	F1-score_macro	gpa_expr_snps	289
Ceftazidim	0.795	F1-score_macro	gpa_expr_snps	289
Tobramycin	0.909	F1-score_macro	gpa_expr_snps	289
Meropenem	0.856	F1-score_macro	gpa_expr	289
Ciprofloxacin	0.758	F1-score_macro	gpa_expr	289
Ceftazidim	0.842	F1-score_macro	gpa_expr	289
Tobramycin	0.918	F1-score_macro	gpa_expr	289
Meropenem	0.863	F1-score_macro	gpa_snps	289
Ciprofloxacin	0.86	F1-score_macro	gpa_snps	289
Ceftazidim	0.714	F1-score_macro	gpa_snps	289
Tobramycin	0.912	F1-score_macro	gpa_snps	289
Meropenem	0.863	F1-score_macro	gpa	289
Ciprofloxacin	0.731	F1-score_macro	gpa	289
Ceftazidim	0.692	F1-score_macro	gpa	289
Tobramycin	0.925	F1-score_macro	gpa	289
Meropenem	0.498	F1-score_macro	snps	289
Ciprofloxacin	0.851	F1-score_macro	snps	289
Ceftazidim	0.709	F1-score_macro	snps	289
Tobramycin	0.888	F1-score_macro	snps	289
Meropenem	0.838	F1-score_macro	expr_snps	331
Ciprofloxacin	0.865	F1-score_macro	expr_snps	331
Ceftazidim	0.75	F1-score_macro	expr_snps	331
Tobramycin	0.912	F1-score_macro	expr_snps	331
Meropenem	0.826	F1-score_macro	expr	331
Ciprofloxacin	0.772	F1-score_macro	expr	331
Ceftazidim	0.8	F1-score_macro	expr	331
Tobramycin	0.872	F1-score_macro	expr	331
Meropenem	0.879	F1-score_macro	gpa_expr_snps	331
Ciprofloxacin	0.865	F1-score_macro	gpa_expr_snps	331
Ceftazidim	0.785	F1-score_macro	gpa_expr_snps	331
Tobramycin	0.906	F1-score_macro	gpa_expr_snps	331
Meropenem	0.892	F1-score_macro	gpa_expr	331
Ciprofloxacin	0.764	F1-score_macro	gpa_expr	331
Ceftazidim	0.792	F1-score_macro	gpa_expr	331
Tobramycin	0.913	F1-score_macro	gpa_expr	331
Meropenem	0.876	F1-score_macro	gpa_snps	331
Ciprofloxacin	0.872	F1-score_macro	gpa_snps	331
Ceftazidim	0.685	F1-score_macro	gpa_snps	331
Tobramycin	0.892	F1-score_macro	gpa_snps	331
Meropenem	0.863	F1-score_macro	gpa	331
Ciprofloxacin	0.732	F1-score_macro	gpa	331
Ceftazidim	0.692	F1-score_macro	gpa	331
Tobramycin	0.89	F1-score_macro	gpa	331
Meropenem	0.534	F1-score_macro	snps	331
Ciprofloxacin	0.872	F1-score_macro	snps	331
Ceftazidim	0.638	F1-score_macro	snps	331
Tobramycin	0.847	F1-score_macro	snps	331
Meropenem	0.803	F1-score_macro	expr_snps	331
Ciprofloxacin	0.873	F1-score_macro	expr_snps	331
Ceftazidim	0.796	F1-score_macro	expr_snps	331
Tobramycin	0.893	F1-score_macro	expr_snps	331
Meropenem	0.842	F1-score_macro	expr	331
Ciprofloxacin	0.761	F1-score_macro	expr	331
Ceftazidim	0.845	F1-score_macro	expr	331
Tobramycin	0.915	F1-score_macro	expr	331
Meropenem	0.886	F1-score_macro	gpa_expr_snps	331
Ciprofloxacin	0.887	F1-score_macro	gpa_expr_snps	331
Ceftazidim	0.815	F1-score_macro	gpa_expr_snps	331
Tobramycin	0.922	F1-score_macro	gpa_expr_snps	331
Meropenem	0.892	F1-score_macro	gpa_expr	331
Ciprofloxacin	0.803	F1-score_macro	gpa_expr	331
Ceftazidim	0.819	F1-score_macro	gpa_expr	331
Tobramycin	0.941	F1-score_macro	gpa_expr	331
Meropenem	0.871	F1-score_macro	gpa_snps	331
Ceftazidim	0.682	F1-score_macro	gpa_snps	331
Tobramycin	0.915	F1-score_macro	gpa_snps	331
Meropenem	0.87	F1-score_macro	gpa	331
Ciprofloxacin	0.779	F1-score_macro	gpa	331
Ceftazidim	0.677	F1-score_macro	gpa	331
Tobramycin	0.918	F1-score_macro	gpa	331
Meropenem	0.596	F1-score_macro	snps	331
Ciprofloxacin	0.884	F1-score_macro	snps	331
Ceftazidim	0.63	F1-score_macro	snps	331
Meropenem	0.85	F1-score_macro	expr_snps	331
Ciprofloxacin	0.887	F1-score_macro	expr_snps	331
